"title","page_url","lastmod","retrieval_ok"
"Heroic Azmore Forest","https://wiki.entropia.top/custom-content/royal/cardia/azmore-forest/heroic-azmore-forest","2024-12-29T23:10:02.660Z","yes"
"Ruins of Desire","https://wiki.entropia.top/custom-content/royal/cardia/ruins-of-desire","2024-03-14T15:49:00.167Z","yes"
"Astral Forest","https://wiki.entropia.top/custom-content/royal/cardia/astral-forest","2024-12-29T21:47:16.730Z","yes"
"Royal Level 1-6","https://wiki.entropia.top/custom-content/royal/royal-level-1-6","2024-12-28T18:32:31.487Z","yes"
"Cardia RL 1 + Ivillis Dungeon","https://wiki.entropia.top/custom-content/royal/royal-level-1-6/cardia-rl-1-+-ivillis-dungeon","2024-03-14T15:49:00.239Z","yes"
"Wasteland","https://wiki.entropia.top/custom-content/royal/royal-level-1-6/wasteland","2024-03-14T15:49:00.240Z","yes"
"Royal Level 10-15","https://wiki.entropia.top/custom-content/royal/royal-level-10-15","2023-04-17T20:24:32.000Z","yes"
"Amethyst Forest","https://wiki.entropia.top/custom-content/royal/royal-level-10-15/amethyst-forest","2024-03-14T15:49:00.258Z","yes"
"Royal Level 15-20","https://wiki.entropia.top/custom-content/royal/royal-level-15-20","","yes"
"Dread Cove Isle","https://wiki.entropia.top/custom-content/royal/royal-level-15-20/dread-cove-isle","2024-12-16T16:59:41.194Z","yes"
"What is the Dread Cove Isle?","https://wiki.entropia.top/custom-content/royal/royal-level-15-20/dread-cove-isle/what-is-the-dread-cove-isle","2024-12-28T18:00:42.776Z","yes"
"Pirate Cave","https://wiki.entropia.top/custom-content/royal/royal-level-15-20/dread-cove-isle/pirate-cave","2024-12-28T18:39:37.016Z","yes"
"Umbala","https://wiki.entropia.top/custom-content/royal/royal-level-15-20/dread-cove-isle/umbala","2024-12-29T21:29:54.126Z","yes"
"Entropia Oasis","https://wiki.entropia.top/farm-zones/entropia-oasis","2024-03-05T19:56:14.133Z","yes"
"Mars Mine","https://wiki.entropia.top/farm-zones/mars-mine","2023-04-26T18:05:33.000Z","yes"
"Item List","https://wiki.entropia.top/farm-zones/mars-mine/item-list","2023-04-16T18:11:12.000Z","yes"
"Dekanes Mine","https://wiki.entropia.top/farm-zones/dekanes-mine","2023-04-26T18:05:56.000Z","yes"
"Item List","https://wiki.entropia.top/farm-zones/dekanes-mine/item-list","2023-04-16T18:08:03.000Z","yes"
"Quality of Life Changes","https://wiki.entropia.top/qol-changes/quality-of-life-changes","2023-04-26T18:06:06.000Z","yes"
"General","https://wiki.entropia.top/qol-changes/quality-of-life-changes/general","2023-04-21T16:24:05.000Z","yes"
"Guilds","https://wiki.entropia.top/qol-changes/quality-of-life-changes/guilds","2023-04-16T14:52:07.000Z","yes"
"Partys","https://wiki.entropia.top/qol-changes/quality-of-life-changes/partys","2026-02-17T17:32:19.807Z","yes"
"Couple","https://wiki.entropia.top/qol-changes/quality-of-life-changes/couple","2023-04-16T14:45:36.000Z","yes"
"Teleporter","https://wiki.entropia.top/qol-changes/teleporter","2023-04-16T14:42:55.000Z","yes"
"Shop Search","https://wiki.entropia.top/qol-changes/shop-search","2023-04-21T16:23:36.000Z","yes"
"Partyfinder","https://wiki.entropia.top/qol-changes/partyfinder","2026-02-17T17:32:19.807Z","yes"
"How to use the Partyfinder?","https://wiki.entropia.top/qol-changes/partyfinder/how-to-use-the-partyfinder","2023-04-26T17:49:10.000Z","yes"
"Quality of Life","https://wiki.entropia.top/qol-changes/partyfinder/quality-of-life","2023-04-29T00:23:37.000Z","yes"
"PvE Balance","https://wiki.entropia.top/balance/pve-balance","2023-04-16T14:21:01.000Z","yes"
"Current PvE Meta","https://wiki.entropia.top/balance/pve-balance/current-pve-meta","2023-04-16T13:26:37.000Z","yes"
"Slayer","https://wiki.entropia.top/balance/pve-balance/slayer","2023-04-26T01:19:00.000Z","yes"
"Harlequin","https://wiki.entropia.top/balance/pve-balance/harlequin","2023-04-26T01:19:19.000Z","yes"
"Mentalist","https://wiki.entropia.top/balance/pve-balance/mentalist","2023-04-26T01:19:32.000Z","yes"
"Force Master","https://wiki.entropia.top/balance/pve-balance/force-master","2023-04-28T16:28:30.000Z","yes"
"Crackshooter","https://wiki.entropia.top/balance/pve-balance/crackshooter","2023-04-26T01:20:19.000Z","yes"
"Arcanist","https://wiki.entropia.top/balance/pve-balance/arcanist","2023-04-26T01:20:19.000Z","yes"
"Templar","https://wiki.entropia.top/balance/pve-balance/templar","2023-04-26T01:20:31.000Z","yes"
"Seraph","https://wiki.entropia.top/balance/pve-balance/seraph","2023-04-26T01:20:37.000Z","yes"
"Self Sustain Tank","https://wiki.entropia.top/balance/self-sustain-tank","2023-04-26T17:48:03.000Z","yes"
"Self Sustain Tank Guide","https://wiki.entropia.top/balance/self-sustain-tank/self-sustain-tank-guide","2023-04-16T14:20:21.000Z","yes"
"Weapon and Set Glow","https://wiki.entropia.top/others/weapon-and-set-glow","2024-12-29T22:58:52.165Z","yes"
"Fashion Shader","https://wiki.entropia.top/others/fashion-shader","2024-12-29T23:02:31.454Z","yes"
"(header unavailable)","https://wiki.entropia.top/custom-content/shiny/abyssal-cove","2024-03-05T19:56:13.796Z","sitemap-only"
"(header unavailable)","https://wiki.entropia.top/custom-content/black/kebaria/magma-cave","2024-12-16T09:39:50.487Z","sitemap-only"
"(header unavailable)","https://wiki.entropia.top/custom-content/black/aurania/underwater-world","2023-04-26T02:13:57.000Z","sitemap-only"
"(header unavailable)","https://wiki.entropia.top/custom-content/soulreaver/deep-temple","2023-04-26T02:05:52.000Z","sitemap-only"
